time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:16:30,1600.0,1.0,1.0,Team Vitality,Mad Lions,,,0.0,2.0,2.0,-6.0,-3.0,15.0,-3.0,3.0,0,0,0,1,0,0,1,0,Ornn,Ivern,Sylas,Zeri,Amumu,Sejuani,Xin Zhao,Azir,Lucian,Nami
00:22:40,2300.0,1.0,,SK Gaming,Astralis,3.5,,8.666666666666666,6.0,6.5,13.0,7.0,2.0,-33.0,-22.0,0,0,0,0,0,1,1,0,Gangplank,Ivern,Akali,Xayah,Renata Glasc,Ornn,Elise,Twisted Fate,Aphelios,Renata Glasc
00:27:01,17400.0,-1.0,-4.0,Misfits Gaming,Astralis,5.4,,6.666666666666667,10.0,,-4.0,-30.0,13.0,-10.0,-26.0,0,0,2,-1,0,1,1,0,Gnar,Camille,Orianna,Draven,Pyke,Sejuani,Ivern,Katarina,Sivir,Leona
00:26:57,-3120.0,-2.0,-4.0,Astralis,Team Vitality,2.0,2.0,27.0,-7.25,-6.0,-39.0,15.0,-7.0,-38.0,-22.0,0,0,0,0,0,1,1,0,Ornn,Ivern,Orianna,Zeri,Amumu,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:25:13,4300.0,2.0,6.0,,Astralis,2.5,4.0,,,6.5,-2.0,-52.0,29.0,-50.0,7.0,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Tahm Kench,Ornn,Trundle,Azir,Zeri,Renata Glasc
00:25:04,-8100.0,-3.0,5.0,SK Gaming,,0.5,-7.666666666666667,-4.0,-5.333333333333333,-7.5,-15.0,-37.0,-18.0,-18.0,9.0,0,0,0,0,0,-1,1,0,Gangplank,Volibear,Twisted Fate,Xayah,Amumu,Pantheon,Trundle,Twisted Fate,Jinx,Tahm Kench
00:20:31,2700.0,3.0,2.0,Misfits Gaming,Team BDS,1.0,2.0,0.0,3.0,3.0,-28.0,-24.0,25.0,16.0,15.0,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Maokai,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
00:21:59,3335.0,4.0,10.0,Excel Esports,Team BDS,4.0,8.6,6.666666666666667,3.5,1.5,35.0,36.0,31.0,-20.0,-2.0,0,0,0,0,0,1,1,0,Sett,Viego,Sylas,Ezreal,Maokai,Ornn,Wukong,Lissandra,Xayah,Amumu
00:22:27,-1500.0,-1.0,0.0,Astralis,Excel Esports,0.0,,-1.0,0.0,16.0,-22.0,12.0,-13.0,0.0,-29.0,0,0,0,0,0,1,1,0,Gnar,Udyr,Lissandra,Xayah,Alistar,Gwen,Wukong,Orianna,Ashe,Renata Glasc
00:25:04,4300.0,1.0,4.0,,Excel Esports,-1.0,2.0,4.0,2.0,5.0,30.0,3.0,4.0,14.0,4.0,0,0,0,0,0,1,1,0,Ornn,Volibear,Sylas,Draven,Sona,Sylas,Kha'Zix,Sylas,Kalista,Renata Glasc
00:22:17,11500.0,3.0,11.0,,,0.5,9.666666666666666,,9.0,8.0,34.0,18.0,12.0,24.0,7.0,0,0,0,0,0,1,1,0,Sylas,Ivern,Sylas,Aphelios,Maokai,Ornn,Ivern,Azir,Zeri,Renata Glasc
00:17:20,1700.0,1.0,1.0,Team Vitality,Mad Lions,,,0.0,2.0,2.0,-10.0,-4.0,25.0,-4.0,-2.0,0,0,0,1,0,0,1,0,Ornn,Ivern,Sylas,Zeri,Amumu,Sejuani,Xin Zhao,Azir,Lucian,Nami
00:21:16,-300.0,0.0,0.0,Astralis,Team BDS,,,,,,,,,,,0,1,1,-2,0,1,1,0,Gnar,Ivern,Sylas,MissFortune,Amumu,Ornn,Volibear,Viktor,Zeri,Tahm Kench
00:23:30,3157.0,1.0,-4.0,SK Gaming,Astralis,3.5,,18.666666666666668,6.0,6.5,3.0,7.0,7.0,-33.0,-23.0,0,0,0,0,0,1,1,0,Gangplank,Viego,Orianna,Zeri,Tahm Kench,Gwen,Karthus,Twisted Fate,Aphelios,Renata Glasc
00:25:04,9300.0,7.0,11.0,,SK Gaming,4.0,7.75,10.0,7.0,7.666666666666667,-59.0,11.0,63.0,-20.0,14.0,0,0,0,0,0,1,1,0,Sett,Fiddlesticks,Akshan,Kalista,Tahm Kench,Ornn,Elise,Akali,Aphelios,Maokai
00:27:51,7600.0,6.0,-4.0,Misfits Gaming,Astralis,5.4,,6.666666666666667,10.0,,-3.0,-30.0,14.0,-7.0,1.0,0,-1,4,-2,0,1,1,0,Gnar,Camille,Twisted Fate,Draven,Pyke,Sejuani,Poppy,Katarina,Sivir,Leona
00:27:47,-6000.0,-2.0,-2.0,Astralis,Team Vitality,,,,,,,,,0.0,,0,0,0,0,0,1,1,0,Ornn,Ivern,Twisted Fate,Zeri,Amumu,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:26:03,4800.0,3.0,5.0,Excel Esports,Astralis,2.5,3.0,,14.0,6.5,2.0,-50.0,29.0,-43.0,7.0,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Renata Glasc,Ornn,Trundle,Azir,Zeri,Renata Glasc
00:25:54,-8400.0,,-5.0,SK Gaming,,0.75,-9.0,-4.0,-5.0,-3.0,-219.0,-38.0,-22.0,-22.0,9.0,0,0,0,0,0,-1,1,0,Gangplank,Volibear,Diana,Xayah,Tahm Kench,Pantheon,Ivern,Twisted Fate,Jinx,Renata Glasc
00:08:06,2100.0,0.0,3.0,,SK Gaming,0.0,-42.0,,3.0,3.0,,4.0,-71.0,-20.0,-6.0,0,0,0,0,0,1,1,0,Aatrox,Viego,Lissandra,Ezreal,Rakan,Ornn,Wukong,Sylas,Xayah,Tahm Kench
00:21:21,2700.0,3.0,2.0,Misfits Gaming,Team BDS,,2.0,0.0,3.0,3.0,-33.0,-16.0,28.0,17.0,14.0,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Maokai,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
