time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp,blue_team_win,zeri_yummi_blue,zeri_yummi_red,lucian_nami_blue,lucian_nami_red,senna_tahm_blue,senna_tahm_red,kog_lulu_blue,kog_lulu_red,hextech_soul,infernal_soul,mountain_soul,ocean_soul,wind_soul
00:00:47,0.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:01:37,0.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:01:37,-6500.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,-11.0,6.0,0.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:02:27,5900.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,8.0,4.0,-4.0,-4.0,4.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:03:17,3800.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-3.0,0.0,0.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:03:57,-300.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-7.0,-9.0,-18.0,80.0,0.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:07,5470.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-6.0,-5.0,-4.0,5.0,1.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:57,0.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,-9.0,9.0,1.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:05:47,-100.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-5.0,-1.0,-10.0,6.0,-3.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:06:37,-100.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-11.0,-41.0,-3.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:07:27,-3100.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-11.0,-10.0,-12.0,-77.0,11.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:08:17,-600.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,55.0,-50.0,-15.0,5.0,11.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:10:47,6500.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-13.0,7.0,-21.0,6.0,-2.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:12:27,-700.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-14.0,-102.0,1.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:13:17,-700.0,-1.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,2.0,8.0,-17.0,-5.0,3.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:14:07,-1500.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,1.0,14.0,-16.0,1006.0,1.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:14:57,-1500.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,1.0,10.0,-21.0,14.0,5.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:16:37,-1700.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,-3.0,13.0,-21.0,42.0,6.0,0,0,0,0,0,0,0,1,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:17:27,-1700.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,-6.0,15.0,-19.0,10.0,6.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:18:17,-5500.0,-1.0,-3.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,9.0,-7.0,-24.0,13.0,4.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:19:07,-1800.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,-5.0,13.0,-20.0,9.0,8.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:19:57,-2000.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,-8.0,10.0,-22.0,5.0,8.0,0,0,0,0,0,0,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00:20:47,-2000.0,-1.0,8.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-1.0,-1.0,-10.0,14.0,-25.0,1.0,7.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:21:37,-2200.0,-1.0,-1.0,Astralis,Excel Esports,0.0,-1.0,-1.0,-11.0,-1.0,-16.0,13.0,-14.0,-4.0,7.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:22:27,-1500.0,-1.0,0.0,Astralis,Excel Esports,0.0,8.6,-1.0,0.0,16.0,-22.0,12.0,-13.0,0.0,-29.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:23:17,-1500.0,-1.0,0.0,Astralis,Excel Esports,4.0,0.0,-1.0,-14.0,0.0,-27.0,10.0,-10.0,4.0,8.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:25:04,4300.0,1.0,4.0,Astralis,Excel Esports,-1.0,2.0,4.0,2.0,5.0,30.0,3.0,4.0,14.0,4.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:25:47,-4700.0,-1.0,0.0,Astralis,Excel Esports,0.0,0.0,-1.0,-14.0,0.0,-29.0,13.0,3.0,9.0,10.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:25:54,4200.0,1.0,2.0,Astralis,Excel Esports,-1.0,2.0,4.0,2.0,5.0,34.0,6.0,-3.0,11.0,4.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:26:37,-1400.0,-1.0,0.0,Astralis,Excel Esports,0.0,0.0,-1.0,-14.0,0.0,-24.0,14.0,-8.0,5.0,10.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:26:44,-300.0,3.0,4.0,Astralis,Excel Esports,0.0,0.0,-1.0,-14.0,0.0,-24.0,14.0,-8.0,5.0,10.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:27:27,-2000.0,-2.0,0.0,Astralis,Excel Esports,0.0,0.0,-1.0,2.0,0.0,-27.0,20.0,-5.0,1.0,11.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
00:28:17,-2000.0,-2.0,0.0,Astralis,Excel Esports,0.0,0.0,-1.0,2.0,0.0,-27.0,16.0,2.0,2.0,10.0,0,0,0,0,0,1,0,0,Gnar,Trundle,Lissandra,Kalista,Braum,Ornn,Wukong,Orianna,Ashe,Tahm Kench,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
